购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果	橙子功效
体育运动员苏炳添[SEP]吉林省四平市[SEP]苏炳添太牛了吧，跑得这么快！[SEP]苏炳添[SEP]对对对，这届的东京奥运会我也看了，男子100米半决赛中，他跑出9秒83，实在是太厉害了~[SEP]东京奥运会苏炳添[SEP]是的，真的是开了眼界了，后来他在暨南大学的课程也是很热门的。[SEP]苏炳添的课程[SEP]哈哈哈，那同学们都得加油啦~想要跑过苏炳添，还得努力加油呀~[SEP]苏炳添的成就[SEP]对，但是我觉得在苏大神的教授下，可以带领我国的运动健儿们再创辉煌。[SEP]苏炳添的努力[SEP]那就为他们祝福，感谢有他们艰辛的付出。	不检索
健康中医[SEP]山西省长治市[SEP]你身体健康吗	不检索
健康中医[SEP]山西省长治市[SEP]你身体健康吗[SEP]不检索[SEP]你相信中医吗	中医
健康中医[SEP]山西省长治市[SEP]你身体健康吗[SEP]不检索[SEP]你相信中医吗[SEP]中医[SEP]听说西医指标不治本，中医治本	中医的优势
健康中医[SEP]山西省长治市[SEP]你身体健康吗[SEP]不检索[SEP]你相信中医吗[SEP]中医[SEP]听说西医指标不治本，中医治本[SEP]中医的优势[SEP]中医与西医比有什么优点	中医的缺点
健康中医[SEP]山西省长治市[SEP]你身体健康吗[SEP]不检索[SEP]你相信中医吗[SEP]中医[SEP]听说西医指标不治本，中医治本[SEP]中医的优势[SEP]中医与西医比有什么优点[SEP]中医的缺点[SEP]中医理论，抽象难以理解	不检索
购物水果[SEP]广东省佛山市[SEP]听说你们广东好吃的水果很多。	广东产的水果
购物水果[SEP]广东省佛山市[SEP]听说你们广东好吃的水果很多。[SEP]广东产的水果[SEP]那价格呢，我听说热带水果在你们那也不贵。	佛山水果价格
购物水果[SEP]广东省佛山市[SEP]听说你们广东好吃的水果很多。[SEP]广东产的水果[SEP]那价格呢，我听说热带水果在你们那也不贵。[SEP]佛山水果价格[SEP]我特别喜欢热带水果，以后有机会去广东我一定要好好吃水果。	不检索
购物水果[SEP]广东省佛山市[SEP]听说你们广东好吃的水果很多。[SEP]广东产的水果[SEP]那价格呢，我听说热带水果在你们那也不贵。[SEP]佛山水果价格[SEP]我特别喜欢热带水果，以后有机会去广东我一定要好好吃水果。[SEP]不检索[SEP]不过你刚说的黄皮果是啥啊，我都没吃过。	黄皮果
购物水果[SEP]广东省佛山市[SEP]听说你们广东好吃的水果很多。[SEP]广东产的水果[SEP]那价格呢，我听说热带水果在你们那也不贵。[SEP]佛山水果价格[SEP]我特别喜欢热带水果，以后有机会去广东我一定要好好吃水果。[SEP]不检索[SEP]不过你刚说的黄皮果是啥啊，我都没吃过。[SEP]黄皮果[SEP]哈哈，那肯定吃不胖，太适合我了。	不检索
健康常见病感冒[SEP]辽宁省盘锦市[SEP]去山里玩了一天，回来就开始流鼻涕	不检索
健康常见病感冒[SEP]辽宁省盘锦市[SEP]去山里玩了一天，回来就开始流鼻涕[SEP]不检索[SEP]可是我直流清鼻涕，没有其他不舒服	不检索
健康常见病感冒[SEP]辽宁省盘锦市[SEP]去山里玩了一天，回来就开始流鼻涕[SEP]不检索[SEP]可是我直流清鼻涕，没有其他不舒服[SEP]不检索[SEP]那我这样的，应该不严重，不用看医生吧	不检索
健康常见病感冒[SEP]辽宁省盘锦市[SEP]去山里玩了一天，回来就开始流鼻涕[SEP]不检索[SEP]可是我直流清鼻涕，没有其他不舒服[SEP]不检索[SEP]那我这样的，应该不严重，不用看医生吧[SEP]不检索[SEP]感冒吃啥药啊	不检索
健康常见病感冒[SEP]辽宁省盘锦市[SEP]去山里玩了一天，回来就开始流鼻涕[SEP]不检索[SEP]可是我直流清鼻涕，没有其他不舒服[SEP]不检索[SEP]那我这样的，应该不严重，不用看医生吧[SEP]不检索[SEP]感冒吃啥药啊[SEP]不检索[SEP]这些都是中药吗，苦不苦	不检索
本地生活美食川菜[SEP]澳门特别行政区嘉模堂区[SEP]你会做饭吗？我最近在家里学习做饭，好难啊。	不检索
本地生活美食川菜[SEP]澳门特别行政区嘉模堂区[SEP]你会做饭吗？我最近在家里学习做饭，好难啊。[SEP]不检索[SEP]哈哈哈哈我主要学了一些川菜，像是麻婆豆腐、水煮牛肉之类的我最近都在学，不过真的还挺难做的。	不检索
本地生活美食川菜[SEP]澳门特别行政区嘉模堂区[SEP]你会做饭吗？我最近在家里学习做饭，好难啊。[SEP]不检索[SEP]哈哈哈哈我主要学了一些川菜，像是麻婆豆腐、水煮牛肉之类的我最近都在学，不过真的还挺难做的。[SEP]不检索[SEP]确实，我的家人口味都蛮清淡的，不过我就是喜欢川菜哈哈哈。	川菜推荐
本地生活美食川菜[SEP]澳门特别行政区嘉模堂区[SEP]你会做饭吗？我最近在家里学习做饭，好难啊。[SEP]不检索[SEP]哈哈哈哈我主要学了一些川菜，像是麻婆豆腐、水煮牛肉之类的我最近都在学，不过真的还挺难做的。[SEP]不检索[SEP]确实，我的家人口味都蛮清淡的，不过我就是喜欢川菜哈哈哈。[SEP]川菜推荐[SEP]好的，我有空的话尝试做一做。不过吃川菜很容易上火，你有什么办法避免吗？	川菜上火
本地生活美食川菜[SEP]澳门特别行政区嘉模堂区[SEP]你会做饭吗？我最近在家里学习做饭，好难啊。[SEP]不检索[SEP]哈哈哈哈我主要学了一些川菜，像是麻婆豆腐、水煮牛肉之类的我最近都在学，不过真的还挺难做的。[SEP]不检索[SEP]确实，我的家人口味都蛮清淡的，不过我就是喜欢川菜哈哈哈。[SEP]川菜推荐[SEP]好的，我有空的话尝试做一做。不过吃川菜很容易上火，你有什么办法避免吗？[SEP]川菜上火[SEP]好的！下次有好吃的川菜也要推荐给我！	不检索
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？	烹饪
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？[SEP]烹饪[SEP]我还不太会做饭，我想这个假期学会做可乐鸡翅。	可乐鸡翅
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？[SEP]烹饪[SEP]我还不太会做饭，我想这个假期学会做可乐鸡翅。[SEP]可乐鸡翅[SEP]学到了，我在抖音上收藏了很多视频教程，但是一直没有行动。	不检索
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？[SEP]烹饪[SEP]我还不太会做饭，我想这个假期学会做可乐鸡翅。[SEP]可乐鸡翅[SEP]学到了，我在抖音上收藏了很多视频教程，但是一直没有行动。[SEP]不检索[SEP]你说得对，但是一回到了家就懒惰了，也不想学习，只想在床上开电视。	不检索
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？[SEP]烹饪[SEP]我还不太会做饭，我想这个假期学会做可乐鸡翅。[SEP]可乐鸡翅[SEP]学到了，我在抖音上收藏了很多视频教程，但是一直没有行动。[SEP]不检索[SEP]你说得对，但是一回到了家就懒惰了，也不想学习，只想在床上开电视。[SEP]不检索[SEP]谢谢你的信任，我不能辜负你的信任，我今天就要学习做可乐鸡翅。	不检索
生活做菜可乐鸡翅[SEP]江苏省盐城市[SEP]你会做饭吗？[SEP]烹饪[SEP]我还不太会做饭，我想这个假期学会做可乐鸡翅。[SEP]可乐鸡翅[SEP]学到了，我在抖音上收藏了很多视频教程，但是一直没有行动。[SEP]不检索[SEP]你说得对，但是一回到了家就懒惰了，也不想学习，只想在床上开电视。[SEP]不检索[SEP]谢谢你的信任，我不能辜负你的信任，我今天就要学习做可乐鸡翅。[SEP]不检索[SEP]好的，我有不会的还会找你请教哟！	不检索
学习工作学校[SEP]山东省德州市[SEP]你觉得出国留学怎么样？	不检索
学习工作学校[SEP]山东省德州市[SEP]你觉得出国留学怎么样？[SEP]不检索[SEP]我想去一个留学费用不贵，而且气候比较适宜的国家。	马来西亚气候
学习工作学校[SEP]山东省德州市[SEP]你觉得出国留学怎么样？[SEP]不检索[SEP]我想去一个留学费用不贵，而且气候比较适宜的国家。[SEP]马来西亚气候[SEP]哇，听起来很不错啊，但我身边没什么人去马来西亚留学，马来西亚都有什么高校呢？	马来亚大学
学习工作学校[SEP]山东省德州市[SEP]你觉得出国留学怎么样？[SEP]不检索[SEP]我想去一个留学费用不贵，而且气候比较适宜的国家。[SEP]马来西亚气候[SEP]哇，听起来很不错啊，但我身边没什么人去马来西亚留学，马来西亚都有什么高校呢？[SEP]马来亚大学[SEP]这么好啊？那在马来西亚可以说汉语吗？	马来西亚语言
学习工作学校[SEP]山东省德州市[SEP]你觉得出国留学怎么样？[SEP]不检索[SEP]我想去一个留学费用不贵，而且气候比较适宜的国家。[SEP]马来西亚气候[SEP]哇，听起来很不错啊，但我身边没什么人去马来西亚留学，马来西亚都有什么高校呢？[SEP]马来亚大学[SEP]这么好啊？那在马来西亚可以说汉语吗？[SEP]马来西亚语言[SEP]太棒了吧！这比很多欧美的高校性价比高啊！	不检索
购物水果[SEP]四川省广元市[SEP]我们广元市有好多特产水果很好吃的哦	广元市水果
购物水果[SEP]四川省广元市[SEP]我们广元市有好多特产水果很好吃的哦[SEP]广元市水果[SEP]你怎么知道这么详细啊	不检索
购物水果[SEP]四川省广元市[SEP]我们广元市有好多特产水果很好吃的哦[SEP]广元市水果[SEP]你怎么知道这么详细啊[SEP]不检索[SEP]那你吃过吗，还是只知道名字	旺苍椪柑
购物水果[SEP]四川省广元市[SEP]我们广元市有好多特产水果很好吃的哦[SEP]广元市水果[SEP]你怎么知道这么详细啊[SEP]不检索[SEP]那你吃过吗，还是只知道名字[SEP]旺苍椪柑[SEP]嘿嘿，我也很喜欢吃旺苍椪柑，苍溪雪梨也不错，夏天必吃	苍溪雪梨
购物水果[SEP]四川省广元市[SEP]我们广元市有好多特产水果很好吃的哦[SEP]广元市水果[SEP]你怎么知道这么详细啊[SEP]不检索[SEP]那你吃过吗，还是只知道名字[SEP]旺苍椪柑[SEP]嘿嘿，我也很喜欢吃旺苍椪柑，苍溪雪梨也不错，夏天必吃[SEP]苍溪雪梨[SEP]对啊，夏天来一口，简直是如饮甘霖	不检索
生活旅行[SEP]广西壮族自治区河池市[SEP]在干嘛	不检索
生活旅行[SEP]广西壮族自治区河池市[SEP]在干嘛[SEP]不检索[SEP]听说你很喜欢旅行，去过很多地方	不检索
生活旅行[SEP]广西壮族自治区河池市[SEP]在干嘛[SEP]不检索[SEP]听说你很喜欢旅行，去过很多地方[SEP]不检索[SEP]我想去海边走走，有什么推荐的地方吗	海边旅行地区
生活旅行[SEP]广西壮族自治区河池市[SEP]在干嘛[SEP]不检索[SEP]听说你很喜欢旅行，去过很多地方[SEP]不检索[SEP]我想去海边走走，有什么推荐的地方吗[SEP]海边旅行地区[SEP]三亚吧，离我近些，你看呢	三亚海边怎么样
生活旅行[SEP]广西壮族自治区河池市[SEP]在干嘛[SEP]不检索[SEP]听说你很喜欢旅行，去过很多地方[SEP]不检索[SEP]我想去海边走走，有什么推荐的地方吗[SEP]海边旅行地区[SEP]三亚吧，离我近些，你看呢[SEP]三亚海边怎么样[SEP]好，那就去三亚吧，到时候有什么不熟悉得我再问你	不检索
学习工作学校[SEP]河南省信阳市[SEP]北大和清华到底哪个更好，一直都存在争议	北大和清华哪个更好
学习工作学校[SEP]河南省信阳市[SEP]北大和清华到底哪个更好，一直都存在争议[SEP]北大和清华哪个更好[SEP]这样说也有道理，凡是不能片面	不检索
学习工作学校[SEP]河南省信阳市[SEP]北大和清华到底哪个更好，一直都存在争议[SEP]北大和清华哪个更好[SEP]这样说也有道理，凡是不能片面[SEP]不检索[SEP]虽然话这么说，两个学校各方面都是首屈一指的	不检索
学习工作学校[SEP]河南省信阳市[SEP]北大和清华到底哪个更好，一直都存在争议[SEP]北大和清华哪个更好[SEP]这样说也有道理，凡是不能片面[SEP]不检索[SEP]虽然话这么说，两个学校各方面都是首屈一指的[SEP]不检索[SEP]更重要的是，自己必须够努力	河南高考难度
学习工作学校[SEP]河南省信阳市[SEP]北大和清华到底哪个更好，一直都存在争议[SEP]北大和清华哪个更好[SEP]这样说也有道理，凡是不能片面[SEP]不检索[SEP]虽然话这么说，两个学校各方面都是首屈一指的[SEP]不检索[SEP]更重要的是，自己必须够努力[SEP]河南高考难度[SEP]是的，这让我更紧张了	不检索
文化诗歌海子[SEP]浙江省衢州市[SEP]好喜欢一个名句：“姐姐，今夜我不关心别人，我只想你。”好有爱啊，这句话的原作者是谁啊？	不检索
文化诗歌海子[SEP]浙江省衢州市[SEP]好喜欢一个名句：“姐姐，今夜我不关心别人，我只想你。”好有爱啊，这句话的原作者是谁啊？[SEP]不检索[SEP]海子啊，听说他是个名校高材生呢	海子北京大学
文化诗歌海子[SEP]浙江省衢州市[SEP]好喜欢一个名句：“姐姐，今夜我不关心别人，我只想你。”好有爱啊，这句话的原作者是谁啊？[SEP]不检索[SEP]海子啊，听说他是个名校高材生呢[SEP]海子北京大学[SEP]哇他比我想象中还要厉害！他现在还在世吗？	海子
文化诗歌海子[SEP]浙江省衢州市[SEP]好喜欢一个名句：“姐姐，今夜我不关心别人，我只想你。”好有爱啊，这句话的原作者是谁啊？[SEP]不检索[SEP]海子啊，听说他是个名校高材生呢[SEP]海子北京大学[SEP]哇他比我想象中还要厉害！他现在还在世吗？[SEP]海子[SEP]啊，如此有才华有思想的诗人一定很难被世人理解而成为孤独者吧，突然想到由于同样不被人理解而选择自尽的屈原了……	屈原为何投江
文化诗歌海子[SEP]浙江省衢州市[SEP]好喜欢一个名句：“姐姐，今夜我不关心别人，我只想你。”好有爱啊，这句话的原作者是谁啊？[SEP]不检索[SEP]海子啊，听说他是个名校高材生呢[SEP]海子北京大学[SEP]哇他比我想象中还要厉害！他现在还在世吗？[SEP]海子[SEP]啊，如此有才华有思想的诗人一定很难被世人理解而成为孤独者吧，突然想到由于同样不被人理解而选择自尽的屈原了……[SEP]屈原为何投江[SEP]唉，当年的楚国统治者也是有眼无珠啊，让这么有才的人帮他们治理楚国，说不定统一中原的就不是秦国了	不检索
时尚品牌[SEP]内蒙古自治区兴安盟[SEP]冬奥开幕式加拿大代表队穿的是lululemon，好看的	lululemon
时尚品牌[SEP]内蒙古自治区兴安盟[SEP]冬奥开幕式加拿大代表队穿的是lululemon，好看的[SEP]lululemon[SEP]感觉最近几年挺火	不检索
时尚品牌[SEP]内蒙古自治区兴安盟[SEP]冬奥开幕式加拿大代表队穿的是lululemon，好看的[SEP]lululemon[SEP]感觉最近几年挺火[SEP]不检索[SEP]但感觉好贵，不太理解	lululemon为什么贵
时尚品牌[SEP]内蒙古自治区兴安盟[SEP]冬奥开幕式加拿大代表队穿的是lululemon，好看的[SEP]lululemon[SEP]感觉最近几年挺火[SEP]不检索[SEP]但感觉好贵，不太理解[SEP]lululemon为什么贵[SEP]你买过么，真那么好穿？	不检索
时尚品牌[SEP]内蒙古自治区兴安盟[SEP]冬奥开幕式加拿大代表队穿的是lululemon，好看的[SEP]lululemon[SEP]感觉最近几年挺火[SEP]不检索[SEP]但感觉好贵，不太理解[SEP]lululemon为什么贵[SEP]你买过么，真那么好穿？[SEP]不检索[SEP]哈哈我也是	不检索
购物零食山楂条[SEP]辽宁省锦州市[SEP]我喜欢吃玫瑰山楂条，你呢？	玫瑰山楂条
购物零食山楂条[SEP]辽宁省锦州市[SEP]我喜欢吃玫瑰山楂条，你呢？[SEP]玫瑰山楂条[SEP]我也喜欢，它精选金晔自然农法基地种植的山楂	玫瑰山楂条做法
购物零食山楂条[SEP]辽宁省锦州市[SEP]我喜欢吃玫瑰山楂条，你呢？[SEP]玫瑰山楂条[SEP]我也喜欢，它精选金晔自然农法基地种植的山楂[SEP]玫瑰山楂条做法[SEP]是的，听说采用精控技术蒸煮、烘焙，好神秘啊。不过口感好吃就好。	山楂条口味
购物零食山楂条[SEP]辽宁省锦州市[SEP]我喜欢吃玫瑰山楂条，你呢？[SEP]玫瑰山楂条[SEP]我也喜欢，它精选金晔自然农法基地种植的山楂[SEP]玫瑰山楂条做法[SEP]是的，听说采用精控技术蒸煮、烘焙，好神秘啊。不过口感好吃就好。[SEP]山楂条口味[SEP]你点评的十分到位，是经常吃吗？	山楂条经常吃
购物零食山楂条[SEP]辽宁省锦州市[SEP]我喜欢吃玫瑰山楂条，你呢？[SEP]玫瑰山楂条[SEP]我也喜欢，它精选金晔自然农法基地种植的山楂[SEP]玫瑰山楂条做法[SEP]是的，听说采用精控技术蒸煮、烘焙，好神秘啊。不过口感好吃就好。[SEP]山楂条口味[SEP]你点评的十分到位，是经常吃吗？[SEP]山楂条经常吃[SEP]啊，那也不能多吃哦，会影响身体健康。	不检索
时尚穿搭[SEP]湖北省襄阳市[SEP]我买了一个半身裙，你觉得上衣搭什么好看啊？	半身裙搭配什么上衣半身裙搭配什么上衣
时尚穿搭[SEP]湖北省襄阳市[SEP]我买了一个半身裙，你觉得上衣搭什么好看啊？[SEP]半身裙搭配什么上衣半身裙搭配什么上衣[SEP]感觉还不错，那我是穿运动鞋还是穿高跟鞋呢？	半身裙应该搭配运动鞋还是高跟鞋
时尚穿搭[SEP]湖北省襄阳市[SEP]我买了一个半身裙，你觉得上衣搭什么好看啊？[SEP]半身裙搭配什么上衣半身裙搭配什么上衣[SEP]感觉还不错，那我是穿运动鞋还是穿高跟鞋呢？[SEP]半身裙应该搭配运动鞋还是高跟鞋[SEP]嗯嗯，我知道了，你觉得白色的裙子搭配什么颜色的鞋子好看啊？	不检索
时尚穿搭[SEP]湖北省襄阳市[SEP]我买了一个半身裙，你觉得上衣搭什么好看啊？[SEP]半身裙搭配什么上衣半身裙搭配什么上衣[SEP]感觉还不错，那我是穿运动鞋还是穿高跟鞋呢？[SEP]半身裙应该搭配运动鞋还是高跟鞋[SEP]嗯嗯，我知道了，你觉得白色的裙子搭配什么颜色的鞋子好看啊？[SEP]不检索[SEP]嗯嗯，我下午要去买衣服，你有时间吗？一起去吧	不检索
时尚穿搭[SEP]湖北省襄阳市[SEP]我买了一个半身裙，你觉得上衣搭什么好看啊？[SEP]半身裙搭配什么上衣半身裙搭配什么上衣[SEP]感觉还不错，那我是穿运动鞋还是穿高跟鞋呢？[SEP]半身裙应该搭配运动鞋还是高跟鞋[SEP]嗯嗯，我知道了，你觉得白色的裙子搭配什么颜色的鞋子好看啊？[SEP]不检索[SEP]嗯嗯，我下午要去买衣服，你有时间吗？一起去吧[SEP]不检索[SEP]2:00吧	不检索
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！	三体广播剧
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！[SEP]三体广播剧[SEP]嗯嗯，非常宏伟，著名科幻作家王晋康、科幻评论家吴岩等就曾经认为这是科幻巅峰之作。	三体刘慈欣
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！[SEP]三体广播剧[SEP]嗯嗯，非常宏伟，著名科幻作家王晋康、科幻评论家吴岩等就曾经认为这是科幻巅峰之作。[SEP]三体刘慈欣[SEP]哇，这真的是太厉害了，不是到什么时候能看到电影版本的，好期待啊！！	三体电影版
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！[SEP]三体广播剧[SEP]嗯嗯，非常宏伟，著名科幻作家王晋康、科幻评论家吴岩等就曾经认为这是科幻巅峰之作。[SEP]三体刘慈欣[SEP]哇，这真的是太厉害了，不是到什么时候能看到电影版本的，好期待啊！！[SEP]三体电影版[SEP]什么？！我不太希望这些人演，嗐，感觉会毁了原著！！	三体电影版
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！[SEP]三体广播剧[SEP]嗯嗯，非常宏伟，著名科幻作家王晋康、科幻评论家吴岩等就曾经认为这是科幻巅峰之作。[SEP]三体刘慈欣[SEP]哇，这真的是太厉害了，不是到什么时候能看到电影版本的，好期待啊！！[SEP]三体电影版[SEP]什么？！我不太希望这些人演，嗐，感觉会毁了原著！！[SEP]三体电影版[SEP]嗐，确实，希望能够好好演吧，把这个故事好好讲清楚。	三体简介
文化小说三体[SEP]河南省安阳市[SEP]《三体》出了广播剧诶，我听了毛不易的《尘海》，好好听啊，非常具有神秘感！！[SEP]三体广播剧[SEP]嗯嗯，非常宏伟，著名科幻作家王晋康、科幻评论家吴岩等就曾经认为这是科幻巅峰之作。[SEP]三体刘慈欣[SEP]哇，这真的是太厉害了，不是到什么时候能看到电影版本的，好期待啊！！[SEP]三体电影版[SEP]什么？！我不太希望这些人演，嗐，感觉会毁了原著！！[SEP]三体电影版[SEP]嗐，确实，希望能够好好演吧，把这个故事好好讲清楚。[SEP]三体简介[SEP]还是有难度的，三体文明接收到了来自地球发来的信息，向地球进发，你说这该怎么演，特效怎么做，真是难搞啊~	不检索
健康养生[SEP]湖南省长沙市[SEP]长沙的茶颜悦色好好喝哦	茶颜悦色
健康养生[SEP]湖南省长沙市[SEP]长沙的茶颜悦色好好喝哦[SEP]茶颜悦色[SEP]嗯嗯，奶茶就是让人容易上瘾呀	喝奶茶的危害
健康养生[SEP]湖南省长沙市[SEP]长沙的茶颜悦色好好喝哦[SEP]茶颜悦色[SEP]嗯嗯，奶茶就是让人容易上瘾呀[SEP]喝奶茶的危害[SEP]啊……我还以为可以养养生呢	养生的茶类
健康养生[SEP]湖南省长沙市[SEP]长沙的茶颜悦色好好喝哦[SEP]茶颜悦色[SEP]嗯嗯，奶茶就是让人容易上瘾呀[SEP]喝奶茶的危害[SEP]啊……我还以为可以养养生呢[SEP]养生的茶类[SEP]你经常喝红茶吗	喝红茶的好处
健康养生[SEP]湖南省长沙市[SEP]长沙的茶颜悦色好好喝哦[SEP]茶颜悦色[SEP]嗯嗯，奶茶就是让人容易上瘾呀[SEP]喝奶茶的危害[SEP]啊……我还以为可以养养生呢[SEP]养生的茶类[SEP]你经常喝红茶吗[SEP]喝红茶的好处[SEP]听起来不错，那我今天开始要减少喝奶茶的次数了	不检索
体育运动足球[SEP]澳门特别行政区花王堂区[SEP]我选上了足球课	不检索
体育运动足球[SEP]澳门特别行政区花王堂区[SEP]我选上了足球课[SEP]不检索[SEP]但是我不会踢	不检索
体育运动足球[SEP]澳门特别行政区花王堂区[SEP]我选上了足球课[SEP]不检索[SEP]但是我不会踢[SEP]不检索[SEP]好的，不知道哪里有场地	不检索
体育运动足球[SEP]澳门特别行政区花王堂区[SEP]我选上了足球课[SEP]不检索[SEP]但是我不会踢[SEP]不检索[SEP]好的，不知道哪里有场地[SEP]不检索[SEP]都训练什么呀	不检索
体育运动足球[SEP]澳门特别行政区花王堂区[SEP]我选上了足球课[SEP]不检索[SEP]但是我不会踢[SEP]不检索[SEP]好的，不知道哪里有场地[SEP]不检索[SEP]都训练什么呀[SEP]不检索[SEP]踢的是几人制呀	不检索
泛娱乐演员[SEP]广东省韶关市[SEP]最近看《镜双城》，又粉上李易峰了	不检索
泛娱乐演员[SEP]广东省韶关市[SEP]最近看《镜双城》，又粉上李易峰了[SEP]不检索[SEP]你也喜欢李易峰吗？你看过他的哪些剧？	李易峰的电视剧
泛娱乐演员[SEP]广东省韶关市[SEP]最近看《镜双城》，又粉上李易峰了[SEP]不检索[SEP]你也喜欢李易峰吗？你看过他的哪些剧？[SEP]李易峰的电视剧[SEP]是吧是吧，他的很多作品都很不错	不检索
泛娱乐演员[SEP]广东省韶关市[SEP]最近看《镜双城》，又粉上李易峰了[SEP]不检索[SEP]你也喜欢李易峰吗？你看过他的哪些剧？[SEP]李易峰的电视剧[SEP]是吧是吧，他的很多作品都很不错[SEP]不检索[SEP]《怦然星动》好熟悉的名字，讲的是什么故事来着	不检索
泛娱乐演员[SEP]广东省韶关市[SEP]最近看《镜双城》，又粉上李易峰了[SEP]不检索[SEP]你也喜欢李易峰吗？你看过他的哪些剧？[SEP]李易峰的电视剧[SEP]是吧是吧，他的很多作品都很不错[SEP]不检索[SEP]《怦然星动》好熟悉的名字，讲的是什么故事来着[SEP]不检索[SEP]哦哦，想起来了！我在电影院看过，可喜欢了	不检索
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。	不检索
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。[SEP]不检索[SEP]我想去英国伦敦。	伦敦
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。[SEP]不检索[SEP]我想去英国伦敦。[SEP]伦敦[SEP]我都想去，我喜欢伦敦的建筑物，那种英伦的感觉。	英伦
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。[SEP]不检索[SEP]我想去英国伦敦。[SEP]伦敦[SEP]我都想去，我喜欢伦敦的建筑物，那种英伦的感觉。[SEP]英伦[SEP]福尔摩斯的房子也在伦敦吧。	神探夏洛克
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。[SEP]不检索[SEP]我想去英国伦敦。[SEP]伦敦[SEP]我都想去，我喜欢伦敦的建筑物，那种英伦的感觉。[SEP]英伦[SEP]福尔摩斯的房子也在伦敦吧。[SEP]神探夏洛克[SEP]那你也很想去伦敦看看吧，去看一下福尔摩斯的住宅。	不检索
生活旅行伦敦[SEP]安徽省阜阳市[SEP]疫情什么时候才能消失，我想去出国玩。[SEP]不检索[SEP]我想去英国伦敦。[SEP]伦敦[SEP]我都想去，我喜欢伦敦的建筑物，那种英伦的感觉。[SEP]英伦[SEP]福尔摩斯的房子也在伦敦吧。[SEP]神探夏洛克[SEP]那你也很想去伦敦看看吧，去看一下福尔摩斯的住宅。[SEP]不检索[SEP]伦敦经常下雨吗？听说英国总是在下雨，容易让人抑郁。	不检索
生活宠物[SEP]陕西省安康市[SEP]小狗太可爱了！我也想要养一只小狗！	不检索
生活宠物[SEP]陕西省安康市[SEP]小狗太可爱了！我也想要养一只小狗！[SEP]不检索[SEP]对的，不过我还没想好养什么样的狗狗，我希望养小一点的，我们家没有那么大的空间。	小型犬
生活宠物[SEP]陕西省安康市[SEP]小狗太可爱了！我也想要养一只小狗！[SEP]不检索[SEP]对的，不过我还没想好养什么样的狗狗，我希望养小一点的，我们家没有那么大的空间。[SEP]小型犬[SEP]不过，小狗是不是容易掉毛呀？	小狗掉毛
生活宠物[SEP]陕西省安康市[SEP]小狗太可爱了！我也想要养一只小狗！[SEP]不检索[SEP]对的，不过我还没想好养什么样的狗狗，我希望养小一点的，我们家没有那么大的空间。[SEP]小型犬[SEP]不过，小狗是不是容易掉毛呀？[SEP]小狗掉毛[SEP]这样呀，看来我得经常打扫卫生了。	小狗打疫苗
生活宠物[SEP]陕西省安康市[SEP]小狗太可爱了！我也想要养一只小狗！[SEP]不检索[SEP]对的，不过我还没想好养什么样的狗狗，我希望养小一点的，我们家没有那么大的空间。[SEP]小型犬[SEP]不过，小狗是不是容易掉毛呀？[SEP]小狗掉毛[SEP]这样呀，看来我得经常打扫卫生了。[SEP]小狗打疫苗[SEP]谢谢你的提醒，你知道的好多呀！	不检索
学习工作自然科学化学[SEP]新疆维吾尔自治区克拉玛依市[SEP]有机化学简直是太难学了，我好像啥都记不住	不检索
学习工作自然科学化学[SEP]新疆维吾尔自治区克拉玛依市[SEP]有机化学简直是太难学了，我好像啥都记不住[SEP]不检索[SEP]我们现在学到芳香烃了，请问芳香烃亲电取代反应的邻对位定位基团都是活化基团吗？	不检索
